
   _____          _____  ______    _____ ______ _______ __  __
  / ____|   /\   |  __ \|  ____|  |_   _|  ____|__   __|  \/  |
 | |       /  \  | |__) | |__       | | | |__     | |  | \  / |
 | |      / /\ \ |  ___/|  __|      | | |  __|    | |  | |\/| |
 | |____ / ____ \| |    | |____    _| |_| |____   | |  | |  | |
  \_____/_/    \_\_|    |______|  |_____|______|  |_|  |_|  |_|



Jeecg  Boot Version: 3.4.4
Spring Boot Version: 2.6.14 (v2.6.14)


2026-08-06 23:39:17.911 [background-preinit] [34mINFO [0;39m [36morg.hibernate.validator.internal.util.Version:21[0;39m - HV000001: Hibernate Validator 6.2.5.Final
<==        Row: 2078360436142448641, admin, 2026-07-18 14:05:16.716000, admin, 2026-07-18 14:05:16.842000, A01, 2078348945532030978, 2078360422452240386, 06, 尺寸和区域（总论）, 7, ZB1-A-06-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360453657862146, admin, 2026-07-18 14:05:20.882000, null, null, A01, 2078348945532030978, 2078360422452240386, 13, 项目自定义, 14, ZB1-A-13-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360454119235585, admin, 2026-07-18 14:05:20.992000, admin, 2026-07-18 14:05:21.148000, A01, 2078348945532030978, 2078360422452240386, 14, 装卸（总论）, 15, ZB1-A-14-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360436721262593, admin, 2026-07-18 14:05:16.851000, null, null, A01, 2078348945532030978, 2078360436142448641, 1, 主要尺寸, 1, ZB1-A-06-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360454802907137, admin, 2026-07-18 14:05:21.159000, null, null, A01, 2078348945532030978, 2078360454119235585, 1, 地面设备, 1, ZB1-A-14-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360437274910722, admin, 2026-07-18 14:05:16.983000, null, null, A01, 2078348945532030978, 2078360436142448641, 2, 参考线, 2, ZB1-A-06-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360455310417922, admin, 2026-07-18 14:05:21.274000, null, null, A01, 2078348945532030978, 2078360454119235585, 2, 货物, 2, ZB1-A-14-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360437832753154, admin, 2026-07-18 14:05:17.119000, null, null, A01, 2078348945532030978, 2078360436142448641, 3, 区域划分, 3, ZB1-A-06-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360455683710977, admin, 2026-07-18 14:05:21.395000, admin, 2026-07-18 14:05:21.563000, A01, 2078348945532030978, 2078360454119235585, 3, 物品出入库的装卸, 3, ZB1-A-14-3-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360438386401281, admin, 2026-07-18 14:05:17.247000, null, null, A01, 2078348945532030978, 2078360436142448641, 4, 口盖, 4, ZB1-A-06-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360456577097729, admin, 2026-07-18 14:05:21.572000, null, null, A01, 2078348945532030978, 2078360455683710977, 1, 基本信息, 1, ZB1-A-14-3-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360438814220289, admin, 2026-07-18 14:05:17.349000, admin, 2026-07-18 14:05:17.467000, A01, 2078348945532030978, 2078360422452240386, 07, 顶起、支撑、恢复和运输（总论）, 8, ZB1-A-07-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360457365626881, admin, 2026-07-18 14:05:21.771000, null, null, A01, 2078348945532030978, 2078360455683710977, 2, 附加信息, 2, ZB1-A-14-3-2-00-00-A, null, null, null, 1, 0
<==        Row: 2078360439359479809, admin, 2026-07-18 14:05:17.473000, null, null, A01, 2078348945532030978, 2078360438814220289, 1, 顶起, 1, ZB1-A-07-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360458149961729, admin, 2026-07-18 14:05:21.953000, null, null, A01, 2078348945532030978, 2078360455683710977, 3, 装载程序, 3, ZB1-A-14-3-3-00-00-A, null, null, null, 1, 0
<==        Row: 2078360439850213377, admin, 2026-07-18 14:05:17.601000, null, null, A01, 2078348945532030978, 2078360438814220289, 2, 支撑, 2, ZB1-A-07-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360458900742146, admin, 2026-07-18 14:05:22.134000, null, null, A01, 2078348945532030978, 2078360455683710977, 4, 卸载程序, 4, ZB1-A-14-3-4-00-00-A, null, null, null, 1, 0
<==        Row: 2078360440420638722, admin, 2026-07-18 14:05:17.726000, null, null, A01, 2078348945532030978, 2078360438814220289, 3, 吊挂, 3, ZB1-A-07-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360459693465602, admin, 2026-07-18 14:05:22.323000, null, null, A01, 2078348945532030978, 2078360455683710977, 5, 装卸程序检查清单, 5, ZB1-A-14-3-5-00-00-A, null, null, null, 1, 0
<==        Row: 2078360440974286849, admin, 2026-07-18 14:05:17.863000, null, null, A01, 2078348945532030978, 2078360438814220289, 4, 恢复, 4, ZB1-A-07-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360460209364993, admin, 2026-07-18 14:05:22.454000, admin, 2026-07-18 14:05:22.619000, A01, 2078348945532030978, 2078360454119235585, 4, 非核装备, 4, ZB1-A-14-4-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360441532129281, admin, 2026-07-18 14:05:17.999000, null, null, A01, 2078348945532030978, 2078360438814220289, 5, 运输, 5, ZB1-A-07-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360460893036546, admin, 2026-07-18 14:05:22.627000, null, null, A01, 2078348945532030978, 2078360460209364993, 1, 基本信息, 1, ZB1-A-14-4-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360441947365378, admin, 2026-07-18 14:05:18.100000, admin, 2026-07-18 14:05:18.224000, A01, 2078348945532030978, 2078360422452240386, 08, 调平和称重（总论）, 9, ZB1-A-08-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360461580902402, admin, 2026-07-18 14:05:22.779000, null, null, A01, 2078348945532030978, 2078360460209364993, 2, 附加信息, 2, ZB1-A-14-4-2-00-00-A, null, null, null, 1, 0
<==        Row: 2078360442517790721, admin, 2026-07-18 14:05:18.232000, null, null, A01, 2078348945532030978, 2078360441947365378, 1, 重量和平衡, 1, ZB1-A-08-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360462226825217, admin, 2026-07-18 14:05:22.943000, null, null, A01, 2078348945532030978, 2078360460209364993, 3, 装载程序, 3, ZB1-A-14-4-3-00-00-A, null, null, null, 1, 0
<==        Row: 2078360443071438849, admin, 2026-07-18 14:05:18.351000, null, null, A01, 2078348945532030978, 2078360441947365378, 2, 水平测量, 2, ZB1-A-08-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360462876942337, admin, 2026-07-18 14:05:23.100000, null, null, A01, 2078348945532030978, 2078360460209364993, 4, 卸载程序, 4, ZB1-A-14-4-4-00-00-A, null, null, null, 1, 0
<==        Row: 2078360443486674946, admin, 2026-07-18 14:05:18.456000, null, null, A01, 2078348945532030978, 2078360441947365378, 3, 称重, 3, ZB1-A-08-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360463560613890, admin, 2026-07-18 14:05:23.245000, null, null, A01, 2078348945532030978, 2078360460209364993, 5, 装卸程序检查清单, 5, ZB1-A-14-4-5-00-00-A, null, null, null, 1, 0
<==        Row: 2078360444099043330, admin, 2026-07-18 14:05:18.609000, null, null, A01, 2078348945532030978, 2078360441947365378, 4, 重量和重心数据, 4, ZB1-A-08-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360464160399362, admin, 2026-07-18 14:05:23.408000, null, null, A01, 2078348945532030978, 2078360460209364993, 6, 综合战转换程序, 6, ZB1-A-14-4-6-00-00-A, null, null, null, 1, 0
<==        Row: 2078360444614942721, admin, 2026-07-18 14:05:18.742000, null, null, A01, 2078348945532030978, 2078360441947365378, 5, 静态稳定性, 5, ZB1-A-08-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360464890208258, admin, 2026-07-18 14:05:23.562000, null, null, A01, 2078348945532030978, 2078360460209364993, 7, 综合战转换程序检查清单, 7, ZB1-A-14-4-7-00-00-A, null, null, null, 1, 0
<==        Row: 2078360445403471874, admin, 2026-07-18 14:05:18.910000, admin, 2026-07-18 14:05:19.061000, A01, 2078348945532030978, 2078360422452240386, 09, 牵引和滑行（总论）, 10, ZB1-A-09-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360465565491201, admin, 2026-07-18 14:05:23.723000, null, null, A01, 2078348945532030978, 2078360460209364993, 8, 交互保养检查单, 8, ZB1-A-14-4-8-00-00-A, null, null, null, 1, 0
<==        Row: 2078360446007451650, admin, 2026-07-18 14:05:19.070000, null, null, A01, 2078348945532030978, 2078360445403471874, 1, 牵引, 1, ZB1-A-09-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360466056224769, admin, 2026-07-18 14:05:23.869000, null, null, A01, 2078348945532030978, 2078360460209364993, 9, 核装备, 9, ZB1-A-14-4-9-00-00-A, null, null, null, 1, 0
<==        Row: 2078360446615625730, admin, 2026-07-18 14:05:19.205000, null, null, A01, 2078348945532030978, 2078360445403471874, 2, 滑行, 2, ZB1-A-09-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360466605678593, admin, 2026-07-18 14:05:23.974000, admin, 2026-07-18 14:05:24.111000, A01, 2078348945532030978, 2078360422452240386, 15, 操作信息（总论）, 16, ZB1-A-15-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360447001501698, admin, 2026-07-18 14:05:19.307000, admin, 2026-07-18 14:05:19.423000, A01, 2078348945532030978, 2078360422452240386, 10, 停放、系留、存放和恢复使用（总论）, 11, ZB1-A-10-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360467176103937, admin, 2026-07-18 14:05:24.123000, null, null, A01, 2078348945532030978, 2078360466605678593, 1, 放行/操作限制, 1, ZB1-A-15-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360447538372609, admin, 2026-07-18 14:05:19.429000, null, null, A01, 2078348945532030978, 2078360447001501698, 1, 停放, 1, ZB1-A-10-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360467708780546, admin, 2026-07-18 14:05:24.242000, null, null, A01, 2078348945532030978, 2078360466605678593, 2, 操作特性, 2, ZB1-A-15-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360448066854913, admin, 2026-07-18 14:05:19.545000, null, null, A01, 2078348945532030978, 2078360447001501698, 2, 系留, 2, ZB1-A-10-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360468182736898, admin, 2026-07-18 14:05:24.363000, null, null, A01, 2078348945532030978, 2078360466605678593, 3, 正常程序, 3, ZB1-A-15-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360448524034050, admin, 2026-07-18 14:05:19.662000, null, null, A01, 2078348945532030978, 2078360447001501698, 3, 存放, 3, ZB1-A-10-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360468799299586, admin, 2026-07-18 14:05:24.490000, admin, 2026-07-18 14:05:24.630000, A01, 2078348945532030978, 2078360466605678593, 4, 应急程序, 4, ZB1-A-15-4-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360448985407490, admin, 2026-07-18 14:05:19.770000, null, null, A01, 2078348945532030978, 2078360447001501698, 4, 恢复使用, 4, ZB1-A-10-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360469369724930, admin, 2026-07-18 14:05:24.638000, null, null, A01, 2078348945532030978, 2078360468799299586, 1, 概述, 1, ZB1-A-15-4-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360449325146113, admin, 2026-07-18 14:05:19.849000, admin, 2026-07-18 14:05:19.957000, A01, 2078348945532030978, 2078360422452240386, 11, 标牌和标志（总论）, 12, ZB1-A-11-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360469994676226, admin, 2026-07-18 14:05:24.777000, null, null, A01, 2078348945532030978, 2078360468799299586, 2, 地面应急程序, 2, ZB1-A-15-4-2-00-00-A, null, null, null, 1, 0
<==        Row: 2078360449786519553, admin, 2026-07-18 14:05:19.960000, null, null, A01, 2078348945532030978, 2078360449325146113, 1, 外部配色方案和标志, 1, ZB1-A-11-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360470577684482, admin, 2026-07-18 14:05:24.920000, null, null, A01, 2078348945532030978, 2078360468799299586, 3, 解除应急状态程序, 3, ZB1-A-15-4-3-00-00-A, null, null, null, 1, 0
<==        Row: 2078360450176589826, admin, 2026-07-18 14:05:20.059000, null, null, A01, 2078348945532030978, 2078360449325146113, 2, 外部标牌和标志, 2, ZB1-A-11-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360470976143361, admin, 2026-07-18 14:05:25.072000, null, null, A01, 2078348945532030978, 2078360468799299586, 4, 应急程序相关系统, 4, ZB1-A-15-4-4-00-00-A, null, null, null, 1, 0
<==        Row: 2078360450658934785, admin, 2026-07-18 14:05:20.167000, null, null, A01, 2078348945532030978, 2078360449325146113, 3, 内部标牌和标志, 3, ZB1-A-11-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360471949221889, admin, 2026-07-18 14:05:25.239000, null, null, A01, 2078348945532030978, 2078360468799299586, 5, 单个或多重的发动机故障, 5, ZB1-A-15-4-5-00-00-A, null, null, null, 1, 0
<==        Row: 2078360451040616449, admin, 2026-07-18 14:05:20.261000, admin, 2026-07-18 14:05:20.369000, A01, 2078348945532030978, 2078360422452240386, 12, 保养（总论）, 13, ZB1-A-12-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360472569978882, admin, 2026-07-18 14:05:25.391000, null, null, A01, 2078348945532030978, 2078360468799299586, 6, 抵达/离开应急程序, 6, ZB1-A-15-4-6-00-00-A, null, null, null, 1, 0
<==        Row: 2078360451728482305, admin, 2026-07-18 14:05:20.423000, null, null, A01, 2078348945532030978, 2078360451040616449, 1, 补充和损耗, 1, ZB1-A-12-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360473115238402, admin, 2026-07-18 14:05:25.527000, null, null, A01, 2078348945532030978, 2078360468799299586, 7, 控制系统失效, 7, ZB1-A-15-4-7-00-00-A, null, null, null, 1, 0
<==        Row: 2078360452458291202, admin, 2026-07-18 14:05:20.596000, null, null, A01, 2078348945532030978, 2078360451040616449, 2, 定期保养, 2, ZB1-A-12-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360473761161217, admin, 2026-07-18 14:05:25.673000, null, null, A01, 2078348945532030978, 2078360468799299586, 8, 其它应急程序或失效状况, 8, ZB1-A-15-4-8-00-00-A, null, null, null, 1, 0
<==        Row: 2078360453204877313, admin, 2026-07-18 14:05:20.770000, null, null, A01, 2078348945532030978, 2078360451040616449, 3, 非定期保养, 3, ZB1-A-12-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360473937321985, admin, 2026-07-18 14:05:25.825000, null, null, A01, 2078348945532030978, 2078360468799299586, 9, 多功能显示器给出的紧急情况信息, 9, ZB1-A-15-4-9-00-00-A, null, null, null, 1, 0
<==        Row: 2078360453657862146, admin, 2026-07-18 14:05:20.882000, null, null, A01, 2078348945532030978, 2078360422452240386, 13, 项目自定义, 14, ZB1-A-13-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360475128504321, admin, 2026-07-18 14:05:25.997000, null, null, A01, 2078348945532030978, 2078360466605678593, 5, 特殊条件, 5, ZB1-A-15-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360454119235585, admin, 2026-07-18 14:05:20.992000, admin, 2026-07-18 14:05:21.148000, A01, 2078348945532030978, 2078360422452240386, 14, 装卸（总论）, 15, ZB1-A-14-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360475636015105, admin, 2026-07-18 14:05:26.128000, null, null, A01, 2078348945532030978, 2078360466605678593, 6, 性能数据, 6, ZB1-A-15-6-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360454802907137, admin, 2026-07-18 14:05:21.159000, null, null, A01, 2078348945532030978, 2078360454119235585, 1, 地面设备, 1, ZB1-A-14-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360476122554370, admin, 2026-07-18 14:05:26.243000, null, null, A01, 2078348945532030978, 2078360466605678593, 7, 任务操作程序, 7, ZB1-A-15-7-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360455310417922, admin, 2026-07-18 14:05:21.274000, null, null, A01, 2078348945532030978, 2078360454119235585, 2, 货物, 2, ZB1-A-14-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360477452148738, admin, 2026-07-18 14:05:26.553000, null, null, A01, 2078348945532030978, 2078360466605678593, 8, 构型, 8, ZB1-A-15-8-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360455683710977, admin, 2026-07-18 14:05:21.395000, admin, 2026-07-18 14:05:21.563000, A01, 2078348945532030978, 2078360454119235585, 3, 物品出入库的装卸, 3, ZB1-A-14-3-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360477879967745, admin, 2026-07-18 14:05:26.657000, admin, 2026-07-18 14:05:26.781000, A01, 2078348945532030978, 2078360422452240386, 16, 任务变更（总论）, 17, ZB1-A-16-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360456577097729, admin, 2026-07-18 14:05:21.572000, null, null, A01, 2078348945532030978, 2078360455683710977, 1, 基本信息, 1, ZB1-A-14-3-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360457365626881, admin, 2026-07-18 14:05:21.771000, null, null, A01, 2078348945532030978, 2078360455683710977, 2, 附加信息, 2, ZB1-A-14-3-2-00-00-A, null, null, null, 1, 0
<==        Row: 2078360458149961729, admin, 2026-07-18 14:05:21.953000, null, null, A01, 2078348945532030978, 2078360455683710977, 3, 装载程序, 3, ZB1-A-14-3-3-00-00-A, null, null, null, 1, 0
<==        Row: 2078360458900742146, admin, 2026-07-18 14:05:22.134000, null, null, A01, 2078348945532030978, 2078360455683710977, 4, 卸载程序, 4, ZB1-A-14-3-4-00-00-A, null, null, null, 1, 0
<==        Row: 2078360459693465602, admin, 2026-07-18 14:05:22.323000, null, null, A01, 2078348945532030978, 2078360455683710977, 5, 装卸程序检查清单, 5, ZB1-A-14-3-5-00-00-A, null, null, null, 1, 0
<==        Row: 2078360460209364993, admin, 2026-07-18 14:05:22.454000, admin, 2026-07-18 14:05:22.619000, A01, 2078348945532030978, 2078360454119235585, 4, 非核装备, 4, ZB1-A-14-4-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360460893036546, admin, 2026-07-18 14:05:22.627000, null, null, A01, 2078348945532030978, 2078360460209364993, 1, 基本信息, 1, ZB1-A-14-4-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360461580902402, admin, 2026-07-18 14:05:22.779000, null, null, A01, 2078348945532030978, 2078360460209364993, 2, 附加信息, 2, ZB1-A-14-4-2-00-00-A, null, null, null, 1, 0
<==        Row: 2078360462226825217, admin, 2026-07-18 14:05:22.943000, null, null, A01, 2078348945532030978, 2078360460209364993, 3, 装载程序, 3, ZB1-A-14-4-3-00-00-A, null, null, null, 1, 0
<==        Row: 2078360478450393090, admin, 2026-07-18 14:05:26.791000, null, null, A01, 2078348945532030978, 2078360477879967745, 1, 任务变更, 1, ZB1-A-16-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360462876942337, admin, 2026-07-18 14:05:23.100000, null, null, A01, 2078348945532030978, 2078360460209364993, 4, 卸载程序, 4, ZB1-A-14-4-4-00-00-A, null, null, null, 1, 0
<==        Row: 2078360478882406402, admin, 2026-07-18 14:05:26.894000, null, null, A01, 2078348945532030978, 2078360422452240386, 17, 项目自定义, 18, ZB1-A-17-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360463560613890, admin, 2026-07-18 14:05:23.245000, null, null, A01, 2078348945532030978, 2078360460209364993, 5, 装卸程序检查清单, 5, ZB1-A-14-4-5-00-00-A, null, null, null, 1, 0
<==        Row: 2078360479234727938, admin, 2026-07-18 14:05:26.986000, admin, 2026-07-18 14:05:27.120000, A01, 2078348945532030978, 2078360422452240386, 18, 震动、噪音分析与衰减（总论）, 19, ZB1-A-18-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360464160399362, admin, 2026-07-18 14:05:23.408000, null, null, A01, 2078348945532030978, 2078360460209364993, 6, 综合战转换程序, 6, ZB1-A-14-4-6-00-00-A, null, null, null, 1, 0
<==        Row: 2078360479863873537, admin, 2026-07-18 14:05:27.128000, null, null, A01, 2078348945532030978, 2078360479234727938, 1, 震动分析, 1, ZB1-A-18-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360464890208258, admin, 2026-07-18 14:05:23.562000, null, null, A01, 2078348945532030978, 2078360460209364993, 7, 综合战转换程序检查清单, 7, ZB1-A-14-4-7-00-00-A, null, null, null, 1, 0
<==        Row: 2078360480434298881, admin, 2026-07-18 14:05:27.275000, null, null, A01, 2078348945532030978, 2078360479234727938, 2, 噪音分析, 2, ZB1-A-18-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360465565491201, admin, 2026-07-18 14:05:23.723000, null, null, A01, 2078348945532030978, 2078360460209364993, 8, 交互保养检查单, 8, ZB1-A-14-4-8-00-00-A, null, null, null, 1, 0
<==        Row: 2078360480929226754, admin, 2026-07-18 14:05:27.402000, null, null, A01, 2078348945532030978, 2078360479234727938, 3, 有源衰减/激励, 3, ZB1-A-18-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360466056224769, admin, 2026-07-18 14:05:23.869000, null, null, A01, 2078348945532030978, 2078360460209364993, 9, 核装备, 9, ZB1-A-14-4-9-00-00-A, null, null, null, 1, 0
<==        Row: 2078360481562566658, admin, 2026-07-18 14:05:27.535000, null, null, A01, 2078348945532030978, 2078360479234727938, 4, 传感器, 4, ZB1-A-18-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360466605678593, admin, 2026-07-18 14:05:23.974000, admin, 2026-07-18 14:05:24.111000, A01, 2078348945532030978, 2078360422452240386, 15, 操作信息（总论）, 16, ZB1-A-15-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360482091048962, admin, 2026-07-18 14:05:27.661000, null, null, A01, 2078348945532030978, 2078360479234727938, 5, 控制/计算, 5, ZB1-A-18-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360467176103937, admin, 2026-07-18 14:05:24.123000, null, null, A01, 2078348945532030978, 2078360466605678593, 1, 放行/操作限制, 1, ZB1-A-15-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360482648891394, admin, 2026-07-18 14:05:27.800000, null, null, A01, 2078348945532030978, 2078360479234727938, 6, 无源衰减, 6, ZB1-A-18-6-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360467708780546, admin, 2026-07-18 14:05:24.242000, null, null, A01, 2078348945532030978, 2078360466605678593, 2, 操作特性, 2, ZB1-A-15-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360483554861058, admin, 2026-07-18 14:05:28.008000, null, null, A01, 2078348945532030978, 2078360422452240386, 19, 项目自定义, 20, ZB1-A-19-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360468182736898, admin, 2026-07-18 14:05:24.363000, null, null, A01, 2078348945532030978, 2078360466605678593, 3, 正常程序, 3, ZB1-A-15-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360483936542722, admin, 2026-07-18 14:05:28.110000, null, null, A01, 2078348945532030978, 2078360422452240386, 20, 项目自定义, 21, ZB1-A-20-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360468799299586, admin, 2026-07-18 14:05:24.490000, admin, 2026-07-18 14:05:24.630000, A01, 2078348945532030978, 2078360466605678593, 4, 应急程序, 4, ZB1-A-15-4-0-00-00-A, null, null, null, 1, 1
<==      Total: 111
<==        Row: 2078360469369724930, admin, 2026-07-18 14:05:24.638000, null, null, A01, 2078348945532030978, 2078360468799299586, 1, 概述, 1, ZB1-A-15-4-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360469994676226, admin, 2026-07-18 14:05:24.777000, null, null, A01, 2078348945532030978, 2078360468799299586, 2, 地面应急程序, 2, ZB1-A-15-4-2-00-00-A, null, null, null, 1, 0
Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@168960eb]
<==        Row: 2078360470577684482, admin, 2026-07-18 14:05:24.920000, null, null, A01, 2078348945532030978, 2078360468799299586, 3, 解除应急状态程序, 3, ZB1-A-15-4-3-00-00-A, null, null, null, 1, 0
<==        Row: 2078360470976143361, admin, 2026-07-18 14:05:25.072000, null, null, A01, 2078348945532030978, 2078360468799299586, 4, 应急程序相关系统, 4, ZB1-A-15-4-4-00-00-A, null, null, null, 1, 0
<==        Row: 2078360471949221889, admin, 2026-07-18 14:05:25.239000, null, null, A01, 2078348945532030978, 2078360468799299586, 5, 单个或多重的发动机故障, 5, ZB1-A-15-4-5-00-00-A, null, null, null, 1, 0
<==        Row: 2078360472569978882, admin, 2026-07-18 14:05:25.391000, null, null, A01, 2078348945532030978, 2078360468799299586, 6, 抵达/离开应急程序, 6, ZB1-A-15-4-6-00-00-A, null, null, null, 1, 0
<==        Row: 2078360473115238402, admin, 2026-07-18 14:05:25.527000, null, null, A01, 2078348945532030978, 2078360468799299586, 7, 控制系统失效, 7, ZB1-A-15-4-7-00-00-A, null, null, null, 1, 0
<==        Row: 2078360473761161217, admin, 2026-07-18 14:05:25.673000, null, null, A01, 2078348945532030978, 2078360468799299586, 8, 其它应急程序或失效状况, 8, ZB1-A-15-4-8-00-00-A, null, null, null, 1, 0
<==        Row: 2078360473937321985, admin, 2026-07-18 14:05:25.825000, null, null, A01, 2078348945532030978, 2078360468799299586, 9, 多功能显示器给出的紧急情况信息, 9, ZB1-A-15-4-9-00-00-A, null, null, null, 1, 0
<==        Row: 2078360475128504321, admin, 2026-07-18 14:05:25.997000, null, null, A01, 2078348945532030978, 2078360466605678593, 5, 特殊条件, 5, ZB1-A-15-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360475636015105, admin, 2026-07-18 14:05:26.128000, null, null, A01, 2078348945532030978, 2078360466605678593, 6, 性能数据, 6, ZB1-A-15-6-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360476122554370, admin, 2026-07-18 14:05:26.243000, null, null, A01, 2078348945532030978, 2078360466605678593, 7, 任务操作程序, 7, ZB1-A-15-7-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360477452148738, admin, 2026-07-18 14:05:26.553000, null, null, A01, 2078348945532030978, 2078360466605678593, 8, 构型, 8, ZB1-A-15-8-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360477879967745, admin, 2026-07-18 14:05:26.657000, admin, 2026-07-18 14:05:26.781000, A01, 2078348945532030978, 2078360422452240386, 16, 任务变更（总论）, 17, ZB1-A-16-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360478450393090, admin, 2026-07-18 14:05:26.791000, null, null, A01, 2078348945532030978, 2078360477879967745, 1, 任务变更, 1, ZB1-A-16-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360478882406402, admin, 2026-07-18 14:05:26.894000, null, null, A01, 2078348945532030978, 2078360422452240386, 17, 项目自定义, 18, ZB1-A-17-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360479234727938, admin, 2026-07-18 14:05:26.986000, admin, 2026-07-18 14:05:27.120000, A01, 2078348945532030978, 2078360422452240386, 18, 震动、噪音分析与衰减（总论）, 19, ZB1-A-18-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360479863873537, admin, 2026-07-18 14:05:27.128000, null, null, A01, 2078348945532030978, 2078360479234727938, 1, 震动分析, 1, ZB1-A-18-1-0-00-00-A, null, null, null, 1, 0
